                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3223,                 3.4379,                0.94667,                0.06322,                   0.22,                0.06018,                0.03428,                 1.4593,                 4.0259,                 0.9602,                0.08713,                0.00013,                0.00013
                      2,                 1.0453,                 2.0828,                0.90954,                0.06936,                   0.24,                0.07861,                0.05531,                 1.1434,                  3.648,                0.88921,                0.07327,             0.00026997,             0.00026997
                      3,                 1.0293,                 1.7082,                0.92238,                0.07273,                   0.24,                0.08279,                0.05627,                  1.096,                 3.4021,                0.87237,                0.05941,             0.00040982,             0.00040982
                      4,                0.99346,                 1.4643,                 0.8957,                0.11858,                0.41333,                0.11929,                0.07934,                 1.0746,                 3.4001,                0.87925,               0.045549,             0.00054946,             0.00054946
                      5,                0.95742,                 1.2077,                0.89608,                0.13471,                0.50667,                0.14389,                0.09182,                 1.1221,                 2.8788,                0.87736,               0.031689,              0.0006888,              0.0006888
                      6,                0.95887,                 1.1355,                0.88962,                0.37901,                0.61056,                0.56909,                0.39303,                  1.058,                 2.1073,                0.86901,               0.017828,             0.00082775,             0.00082775
                      7,                0.96538,                0.96151,                0.89514,                0.37345,                0.90974,                0.52262,                0.38117,                   1.09,                 1.5252,                0.88584,              0.0039662,             0.00096621,             0.00096621
                      8,                0.96895,                 0.9398,                0.90023,                0.37169,                0.99333,                0.48064,                0.34483,                 1.0688,                  1.568,                0.90403,             0.00099469,             0.00099469,             0.00099469
                      9,                0.95936,                0.84881,                0.91523,                0.41191,                0.96653,                0.51655,                0.35402,                 1.1187,                 1.4919,                0.90461,             0.00099469,             0.00099469,             0.00099469
                     10,                0.97487,                0.78802,                0.89839,                0.42783,                0.87333,                0.51054,                0.34938,                 1.0992,                 1.6671,                0.91484,             0.00099307,             0.00099307,             0.00099307
                     11,                0.94733,                0.72726,                0.90915,                0.41972,                0.96667,                0.50607,                0.35872,                 1.0854,                 2.1602,                0.89769,             0.00099123,             0.00099123,             0.00099123
                     12,                 0.9634,                0.74081,                0.88833,                0.40381,                0.90894,                0.56748,                0.38667,                 1.0796,                 2.1566,                0.91349,             0.00098918,             0.00098918,             0.00098918
                     13,                0.92965,                0.69005,                0.88919,                0.40615,                0.91158,                0.54904,                0.41663,                  1.036,                 2.1923,                0.89594,             0.00098692,             0.00098692,             0.00098692
                     14,                0.93909,                0.65627,                0.89404,                 0.3908,                0.98667,                0.51336,                0.38654,                0.98386,                 2.0411,                0.87457,             0.00098445,             0.00098445,             0.00098445
                     15,                0.91719,                0.64089,                0.89158,                0.39068,                0.99333,                0.55992,                0.39057,                 1.0166,                 1.8593,                0.89173,             0.00098177,             0.00098177,             0.00098177
                     16,                0.93527,                 0.6603,                0.89517,                0.38856,                 0.9921,                0.48643,                 0.3294,                 1.0506,                 1.7161,                0.88506,             0.00097887,             0.00097887,             0.00097887
                     17,                 0.9012,                0.63512,                0.88463,                0.38822,                   0.98,                0.50888,                0.37877,                 1.0237,                 1.7523,                0.88789,             0.00097577,             0.00097577,             0.00097577
                     18,                0.90843,                0.62548,                0.88096,                0.39084,                0.99333,                0.49411,                0.33374,                 1.0433,                 1.9924,                0.88956,             0.00097247,             0.00097247,             0.00097247
                     19,                 0.8924,                 0.6359,                0.89027,                0.38695,                0.98667,                0.51465,                0.33481,                 1.0289,                 1.8029,                0.88665,             0.00096895,             0.00096895,             0.00096895
                     20,                0.89489,                0.60543,                0.88986,                0.39017,                0.98667,                0.42376,                0.31408,                 1.0162,                 2.0549,                0.88332,             0.00096524,             0.00096524,             0.00096524
                     21,                0.89653,                0.61605,                0.88467,                0.39071,                0.99333,                0.51984,                 0.3797,                 1.0104,                 1.8477,                0.88361,             0.00096132,             0.00096132,             0.00096132
                     22,                0.88719,                0.59423,                 0.8929,                0.38825,                0.99333,                 0.5762,                 0.4055,                 1.0155,                  1.806,                0.89344,             0.00095721,             0.00095721,             0.00095721
                     23,                0.86815,                0.58496,                0.88807,                0.39204,                   0.96,                0.55692,                0.41075,                0.97533,                 1.7773,                0.88785,             0.00095289,             0.00095289,             0.00095289
                     24,                0.85967,                0.56656,                0.88298,                0.39071,                0.98494,                0.60026,                   0.46,                0.98412,                 1.8925,                 0.8854,             0.00094838,             0.00094838,             0.00094838
                     25,                0.85982,                0.59986,                0.88459,                0.38756,                0.99333,                0.63116,                0.48107,                 1.0129,                 1.7538,                0.88024,             0.00094367,             0.00094367,             0.00094367
                     26,                0.90549,                0.56991,                 0.8828,                0.38643,                 0.9985,                0.60963,                0.46416,                 1.0575,                 2.4108,                0.89017,             0.00093877,             0.00093877,             0.00093877
                     27,                0.81934,                0.52562,                0.87338,                 0.3864,                0.98994,                0.50101,                0.40215,                 1.0217,                 1.9274,                0.88873,             0.00093368,             0.00093368,             0.00093368
                     28,                0.88752,                0.58602,                0.89083,                0.38754,                0.99333,                0.46121,                0.35719,                 1.0233,                 2.2843,                  0.896,             0.00092841,             0.00092841,             0.00092841
                     29,                 0.8655,                0.53727,                0.87245,                0.38425,                0.99333,                0.48624,                0.37503,                 1.0189,                 2.2496,                0.89424,             0.00092294,             0.00092294,             0.00092294
                     30,                0.87448,                0.55255,                0.89616,                0.38811,                0.99333,                0.46954,                0.36685,                 1.0008,                 1.8812,                0.88347,              0.0009173,              0.0009173,              0.0009173
                     31,                0.87595,                0.55462,                0.88907,                0.38531,                0.99333,                0.48096,                0.37101,                 1.0106,                 2.2292,                0.88816,             0.00091147,             0.00091147,             0.00091147
                     32,                 0.8756,                0.54712,                 0.8767,                0.38932,                   0.98,                 0.4851,                0.37295,                 1.0052,                 1.7672,                0.88215,             0.00090546,             0.00090546,             0.00090546
                     33,                0.87278,                0.53421,                0.87824,                0.39031,                   0.98,                0.48702,                0.39354,                0.99791,                 2.1665,                0.88552,             0.00089928,             0.00089928,             0.00089928
                     34,                0.85336,                0.53502,                 0.8904,                0.38838,                0.98667,                 0.5063,                0.40319,                0.99378,                 1.7932,                0.89039,             0.00089293,             0.00089293,             0.00089293
                     35,                0.82726,                 0.5304,                0.87137,                 0.3911,                0.98397,                0.53692,                 0.4175,                0.99215,                 1.9627,                0.88265,              0.0008864,              0.0008864,              0.0008864
                     36,                0.84556,                0.51447,                0.88834,                 0.3908,                0.98529,                0.51475,                0.38265,                0.97563,                 2.1671,                0.88582,             0.00087971,             0.00087971,             0.00087971
                     37,                0.88124,                0.52865,                0.88259,                0.40546,                0.95333,                0.51559,                0.39206,                 0.9629,                 1.9564,                0.87888,             0.00087286,             0.00087286,             0.00087286
                     38,                0.83312,                0.51764,                0.88737,                0.38896,                0.98667,                0.51304,                0.40049,                0.96948,                  2.224,                0.88174,             0.00086584,             0.00086584,             0.00086584
                     39,                0.85874,                0.51259,                0.87881,                0.39099,                0.99333,                0.57636,                0.44656,                0.98385,                 1.7507,                0.88777,             0.00085866,             0.00085866,             0.00085866
                     40,                0.90076,                0.55814,                0.88458,                0.38958,                0.98947,                0.58288,                0.47164,                0.99159,                 2.0709,                0.88288,             0.00085133,             0.00085133,             0.00085133
                     41,                0.86119,                0.52358,                0.87718,                0.39036,                0.99333,                0.51417,                0.42185,                0.97853,                  2.275,                0.87836,             0.00084385,             0.00084385,             0.00084385
                     42,                 0.8662,                0.50875,                0.88397,                0.38966,                0.97333,                0.49453,                0.38836,                0.99245,                 1.8045,                 0.8834,             0.00083622,             0.00083622,             0.00083622
                     43,                0.86949,                0.50091,                0.89425,                0.38832,                0.96667,                0.53306,                0.40177,                 1.0339,                 2.0087,                0.89371,             0.00082844,             0.00082844,             0.00082844
                     44,                0.87312,                0.51676,                0.86987,                0.38774,                0.98454,                0.63218,                0.43984,                0.95313,                 1.9397,                0.87258,             0.00082052,             0.00082052,             0.00082052
                     45,                0.83241,                0.47072,                 0.8855,                0.39105,                0.98629,                0.62469,                 0.4341,                0.94858,                 1.8977,                0.87561,             0.00081247,             0.00081247,             0.00081247
                     46,                0.84806,                0.48137,                0.87649,                0.38632,                0.92667,                0.63356,                0.43116,                 1.0262,                 1.9411,                0.88253,             0.00080428,             0.00080428,             0.00080428
                     47,                0.84364,                0.47542,                0.87809,                0.39401,                0.99333,                0.50168,                0.38069,                0.98538,                 2.0507,                0.88054,             0.00079595,             0.00079595,             0.00079595
                     48,                0.82613,                0.48047,                0.88067,                0.39094,                0.99333,                 0.4752,                0.36302,                0.95382,                 2.0488,                0.87244,              0.0007875,              0.0007875,              0.0007875
                     49,                0.87786,                0.50252,                0.88148,                0.39045,                0.98667,                0.49451,                0.37759,                0.96845,                 1.7908,                0.87773,             0.00077893,             0.00077893,             0.00077893
                     50,                0.81911,                0.48642,                0.87352,                0.39149,                0.99333,                0.50083,                0.37842,                 1.0107,                 2.1485,                0.88534,             0.00077023,             0.00077023,             0.00077023
                     51,                0.85632,                0.47653,                0.88145,                0.39081,                0.99333,                0.49357,                0.38309,                0.99464,                 2.0059,                0.88544,             0.00076142,             0.00076142,             0.00076142
                     52,                0.87647,                0.47853,                0.89116,                0.39162,                0.97333,                0.49242,                0.38073,                0.97328,                  1.816,                0.88187,              0.0007525,              0.0007525,              0.0007525
                     53,                0.85874,                0.48392,                0.88376,                0.39194,                0.98667,                0.52562,                0.40277,                0.96103,                 2.0631,                0.87795,             0.00074347,             0.00074347,             0.00074347
                     54,                0.85318,                0.50279,                0.87348,                0.39089,                0.98566,                0.54677,                0.42362,                0.97338,                 1.8625,                0.87678,             0.00073433,             0.00073433,             0.00073433
                     55,                0.83935,                0.46079,                0.87963,                0.38785,                   0.98,                0.51519,                0.39261,                0.96831,                 1.8867,                0.87689,             0.00072509,             0.00072509,             0.00072509
